#{"t_start": 1777575685.8766642, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-208.5,100,18.752265,0,0,0,0.0,0
-189.7,100,18.831199,0,0,0,0.0,0
0.8,100,18.926159,0,0,0,0.0,0
-225.0,100,19.019216,0,0,0,0.0,0
-198.9,100,19.107533,0,0,0,0.0,0
-144.6,100,19.199368,0,0,0,0.0,0
-218.4,100,19.279148,0,0,0,0.0,0
-180.9,100,19.35223,0,0,0,0.0,0
-212.0,100,19.431693,0,0,0,0.0,0
-222.3,100,19.520457,0,0,0,0.0,0
-199.0,100,19.605162,0,0,0,0.0,0
-214.5,100,19.686248,0,0,0,0.0,0
-203.3,100,19.759041,0,0,0,0.0,0
-151.8,100,20.850592,0,0,0,0.0,0
-150.2,100,20.935994,0,0,0,0.0,0
-198.3,100,21.020905,0,0,0,0.0,0
-219.3,100,21.10236,0,0,0,0.0,0
-130.2,100,21.191797,0,0,0,0.0,0
-207.0,100,21.279,0,0,0,0.0,0
-213.3,100,21.352119,0,0,0,0.0,0
-220.5,100,21.446662,0,0,0,1.0,0
-195.0,100,21.523777,0,0,0,0.0,0
-204.1,100,21.60521,0,0,0,0.0,0
-212.3,100,21.686329,0,0,0,0.0,0
-209.3,100,21.768346,0,0,0,0.0,0
-152.6,100,21.853927,0,0,0,0.0,0
-196.6,100,21.928884,0,0,0,0.0,0
-111.3,100,22.003115,0,0,0,0.0,0
-208.2,100,22.094033,0,0,0,0.0,0
-232.4,100,22.18806,0,0,0,0.0,0
-220.6,100,22.26538,0,0,0,0.0,0
-188.6,100,22.335927,0,0,0,0.0,0
-225.0,100,22.430599,0,0,0,0.0,0
-203.5,100,23.514424,0,0,0,0.0,0
-201.9,100,23.604168,0,0,0,0.0,0
-141.1,100,23.679015,0,0,0,0.0,0
-194.5,100,23.752362,0,0,0,0.0,0
-187.6,100,23.839816,0,0,0,0.0,0
-217.1,100,23.92889,0,0,0,0.0,0
-207.2,100,24.002039,0,0,0,0.0,0
-173.0,100,24.108696,0,0,0,0.0,0
-160.0,100,24.204326,0,0,0,0.0,0
-187.9,100,24.289402,0,0,0,0.0,0
-215.7,100,24.364292,0,0,0,0.0,0
-118.9,100,24.458082,0,0,0,0.0,0
-188.9,100,24.537509,0,0,0,0.0,0
-193.0,100,24.616434,0,0,0,0.0,0
-212.6,100,24.691177,0,0,0,0.0,0
-225.5,100,24.774172,0,0,0,0.0,0
-7.9,100,24.858161,0,0,0,0.0,0
-197.2,100,24.948666,0,0,0,0.0,0
-200.4,100,25.035001,0,0,0,0.0,0
-216.5,100,25.110116,0,0,0,0.0,0
1.8,100,25.202055,0,0,0,0.0,0
-211.9,100,26.267634,0,0,0,0.0,0
-225.6,100,26.351119,0,0,0,0.0,0
-203.9,100,26.423959,0,0,0,0.0,0
-204.4,100,26.502701,0,0,0,0.0,0
-216.5,100,26.578755,0,0,0,0.0,0
-210.7,100,26.652118,0,0,0,0.0,0
-224.0,100,26.736474,0,0,0,0.0,0
-212.4,100,26.820431,0,0,0,0.0,0
-225.1,100,26.891584,0,0,0,0.0,0
-221.9,100,26.974774,0,0,0,0.0,0
-189.6,100,27.04622,0,0,0,0.0,0
-145.6,100,27.136154,0,0,0,0.0,0
-209.8,100,27.205986,0,0,0,0.0,0
-203.7,100,27.286862,0,0,0,0.0,0
-205.5,100,27.365887,0,0,0,0.0,0
-203.6,100,27.456003,0,0,0,0.0,0
-184.9,100,28.736276,0,0,0,0.0,0
-212.0,100,28.810012,0,0,0,0.0,0
-192.9,100,28.890163,0,0,0,0.0,0
-2.2,100,28.974872,0,0,0,0.0,0
-225.3,100,30.080653,0,0,0,0.0,0
-227.0,100,30.158951,0,0,0,0.0,0
-199.0,100,30.236813,0,0,0,0.0,0
-72.1,100,30.327182,0,0,0,0.0,0
-222.1,100,30.4024,0,0,0,0.0,0
-201.8,100,30.480917,0,0,0,0.0,0
-91.0,100,30.571168,0,0,0,0.0,0
-203.4,100,30.648077,0,0,0,0.0,0
-197.0,100,30.727539,0,0,0,0.0,0
-200.5,100,30.810276,0,0,0,0.0,0
