step,calibration,seed,fire_cells
78,saudi,2,0
79,saudi,2,0
80,saudi,2,0
81,saudi,2,0
82,saudi,2,0
83,saudi,2,0
84,saudi,2,0
85,saudi,2,0
86,saudi,2,0
87,saudi,2,0
88,saudi,2,0
89,saudi,2,0
90,saudi,2,0
91,saudi,2,0
92,saudi,2,0
93,saudi,2,0
94,saudi,2,0
95,saudi,2,0
96,saudi,2,0
97,saudi,2,0
98,saudi,2,0
99,saudi,2,0
0,saudi,3,2
1,saudi,3,4
2,saudi,3,4
3,saudi,3,5
4,saudi,3,5
5,saudi,3,8
6,saudi,3,11
7,saudi,3,10
8,saudi,3,14
9,saudi,3,11
10,saudi,3,8
11,saudi,3,14
12,saudi,3,19
13,saudi,3,22
14,saudi,3,25
15,saudi,3,28
16,saudi,3,33
17,saudi,3,30
18,saudi,3,32
19,saudi,3,26
20,saudi,3,18
21,saudi,3,17
22,saudi,3,7
23,saudi,3,7
24,saudi,3,7
25,saudi,3,2
26,saudi,3,1
27,saudi,3,0
28,saudi,3,0
29,saudi,3,0
30,saudi,3,0
31,saudi,3,0
32,saudi,3,0
33,saudi,3,0
34,saudi,3,0
35,saudi,3,0
36,saudi,3,0
37,saudi,3,0
38,saudi,3,0
39,saudi,3,0
40,saudi,3,0
41,saudi,3,0
42,saudi,3,0
43,saudi,3,0
44,saudi,3,0
45,saudi,3,0
46,saudi,3,0
47,saudi,3,0
48,saudi,3,0
49,saudi,3,0
50,saudi,3,0
51,saudi,3,0
52,saudi,3,0
53,saudi,3,0
54,saudi,3,0
55,saudi,3,0
56,saudi,3,0
57,saudi,3,0
58,saudi,3,0
59,saudi,3,0
60,saudi,3,0
61,saudi,3,0
62,saudi,3,0
63,saudi,3,0
64,saudi,3,0
65,saudi,3,0
66,saudi,3,0
67,saudi,3,0
68,saudi,3,0
69,saudi,3,0
70,saudi,3,0
71,saudi,3,0
72,saudi,3,0
73,saudi,3,0
74,saudi,3,0
75,saudi,3,0
76,saudi,3,0
77,saudi,3,0
78,saudi,3,0
79,saudi,3,0
80,saudi,3,0
81,saudi,3,0
82,saudi,3,0
83,saudi,3,0
84,saudi,3,0
85,saudi,3,0
86,saudi,3,0
87,saudi,3,0
88,saudi,3,0
89,saudi,3,0
90,saudi,3,0
91,saudi,3,0
92,saudi,3,0
93,saudi,3,0
94,saudi,3,0
95,saudi,3,0
96,saudi,3,0
97,saudi,3,0
98,saudi,3,0
99,saudi,3,0
0,saudi,4,2
1,saudi,4,3
2,saudi,4,3
3,saudi,4,4
4,saudi,4,10
5,saudi,4,23
6,saudi,4,42
7,saudi,4,48
8,saudi,4,56
9,saudi,4,64
10,saudi,4,70
11,saudi,4,73
12,saudi,4,86
13,saudi,4,91
14,saudi,4,103
15,saudi,4,103
16,saudi,4,103
17,saudi,4,102
18,saudi,4,89
19,saudi,4,80
20,saudi,4,55
21,saudi,4,54
22,saudi,4,47
23,saudi,4,35
24,saudi,4,36
25,saudi,4,40
26,saudi,4,38
27,saudi,4,27
28,saudi,4,24
29,saudi,4,21
30,saudi,4,13
31,saudi,4,8
32,saudi,4,7
33,saudi,4,7
34,saudi,4,5
35,saudi,4,2
36,saudi,4,3
37,saudi,4,2
38,saudi,4,2
39,saudi,4,2
40,saudi,4,0
41,saudi,4,0
42,saudi,4,0
43,saudi,4,0
44,saudi,4,0
45,saudi,4,0
46,saudi,4,0
47,saudi,4,0
48,saudi,4,0
49,saudi,4,0
50,saudi,4,0
51,saudi,4,0
52,saudi,4,0
53,saudi,4,0
54,saudi,4,0
55,saudi,4,0
56,saudi,4,0
57,saudi,4,0
