step,california_mean,california_std,saudi_mean,saudi_std
0,2.00,0.00,2.00,0.00
1,4.20,0.75,4.80,1.72
2,7.00,1.67,8.40,4.67
3,9.00,2.00,18.40,12.11
4,15.40,3.56,32.80,22.59
5,25.20,3.71,53.40,31.89
6,34.80,4.96,75.60,41.97
7,48.60,7.36,96.40,60.59
8,62.60,10.13,110.60,69.34
9,79.40,15.64,122.20,81.66
10,96.80,19.78,121.60,82.26
11,117.60,24.61,120.20,79.86
12,133.60,31.11,119.80,73.01
13,153.20,34.40,111.80,62.00
14,172.80,35.99,110.40,59.75
15,188.60,36.84,97.00,44.33
16,197.80,35.75,85.60,32.11
17,206.40,40.03,72.20,26.84
18,213.00,44.20,61.40,18.51
19,214.20,43.40,48.60,17.79
20,209.20,39.29,39.00,14.39
21,204.40,36.40,34.00,15.36
22,200.00,30.48,32.00,18.45
23,192.60,23.13,27.80,17.88
24,183.80,16.53,25.00,21.83
25,170.80,11.51,23.20,21.11
26,147.20,12.16,19.80,19.66
27,137.60,20.86,15.20,13.32
28,114.80,29.40,13.00,11.70
29,104.20,33.50,12.00,10.06
30,86.80,35.20,9.80,8.59
31,76.60,37.12,7.40,6.50
32,62.40,32.89,8.20,7.65
33,53.60,32.24,5.80,4.96
34,42.00,24.41,4.80,4.53
35,38.00,24.92,4.00,4.86
36,30.20,17.81,3.80,3.82
37,23.80,17.06,2.60,2.65
38,18.80,15.01,2.40,2.33
39,17.00,13.56,3.00,3.35
40,12.20,9.79,1.80,2.23
41,9.60,8.21,1.00,1.55
42,6.40,6.09,1.60,2.06
43,4.40,5.99,2.60,3.32
44,3.60,4.03,1.80,3.12
45,2.00,2.61,2.00,4.00
46,1.20,1.60,1.60,3.20
47,1.00,2.00,2.20,4.40
48,1.00,2.00,3.20,6.40
49,0.80,1.60,4.80,9.60
50,0.40,0.80,4.20,8.40
51,0.40,0.80,4.60,9.20
52,0.20,0.40,6.00,12.00
53,0.20,0.40,6.20,12.40
54,0.20,0.40,4.40,8.80
55,0.20,0.40,5.00,10.00
56,0.20,0.40,5.60,11.20
57,0.20,0.40,5.40,10.80
58,0.20,0.40,6.00,12.00
59,0.00,0.00,6.00,12.00
60,0.00,0.00,5.40,10.80
61,0.00,0.00,5.00,10.00
62,0.00,0.00,4.20,8.40
63,0.00,0.00,2.80,5.60
64,0.00,0.00,2.20,4.40
65,0.00,0.00,2.80,5.60
66,0.00,0.00,1.80,3.60
67,0.00,0.00,1.80,3.60
68,0.00,0.00,1.40,2.80
69,0.00,0.00,2.20,4.40
70,0.00,0.00,1.80,3.60
71,0.00,0.00,2.20,4.40
72,0.00,0.00,3.20,6.40
73,0.00,0.00,3.20,6.40
74,0.00,0.00,1.80,3.60
75,0.00,0.00,1.80,3.60
76,0.00,0.00,1.60,3.20
77,0.00,0.00,0.80,1.60
78,0.00,0.00,1.00,2.00
79,0.00,0.00,1.20,2.40
80,0.00,0.00,1.80,3.60
81,0.00,0.00,1.60,3.20
82,0.00,0.00,1.60,3.20
83,0.00,0.00,1.40,2.80
84,0.00,0.00,2.00,4.00
85,0.00,0.00,1.00,2.00
86,0.00,0.00,1.20,2.40
87,0.00,0.00,1.00,2.00
88,0.00,0.00,1.20,2.40
89,0.00,0.00,1.20,2.40
90,0.00,0.00,0.60,1.20
91,0.00,0.00,1.20,2.40
92,0.00,0.00,0.60,1.20
93,0.00,0.00,1.00,2.00
94,0.00,0.00,0.60,1.20
95,0.00,0.00,0.80,1.60
96,0.00,0.00,1.40,2.80
97,0.00,0.00,1.40,2.80
98,0.00,0.00,1.20,2.40
99,0.00,0.00,1.60,3.20
