step,calibration,seed,fire_cells
48,california,3,0
49,california,3,0
50,california,3,0
51,california,3,0
52,california,3,0
53,california,3,0
54,california,3,0
55,california,3,0
56,california,3,0
57,california,3,0
58,california,3,0
59,california,3,0
60,california,3,0
61,california,3,0
62,california,3,0
63,california,3,0
64,california,3,0
65,california,3,0
66,california,3,0
67,california,3,0
68,california,3,0
69,california,3,0
70,california,3,0
71,california,3,0
72,california,3,0
73,california,3,0
74,california,3,0
75,california,3,0
76,california,3,0
77,california,3,0
78,california,3,0
79,california,3,0
80,california,3,0
81,california,3,0
82,california,3,0
83,california,3,0
84,california,3,0
85,california,3,0
86,california,3,0
87,california,3,0
88,california,3,0
89,california,3,0
90,california,3,0
91,california,3,0
92,california,3,0
93,california,3,0
94,california,3,0
95,california,3,0
96,california,3,0
97,california,3,0
98,california,3,0
99,california,3,0
0,california,4,2
1,california,4,4
2,california,4,8
3,california,4,10
4,california,4,22
5,california,4,32
6,california,4,41
7,california,4,56
8,california,4,65
9,california,4,76
10,california,4,86
11,california,4,94
12,california,4,97
13,california,4,108
14,california,4,118
15,california,4,128
16,california,4,138
17,california,4,134
18,california,4,130
19,california,4,131
20,california,4,134
21,california,4,135
22,california,4,146
23,california,4,162
24,california,4,172
25,california,4,179
26,california,4,166
27,california,4,173
28,california,4,164
29,california,4,159
30,california,4,150
31,california,4,144
32,california,4,122
33,california,4,111
34,california,4,75
35,california,4,78
36,california,4,57
37,california,4,49
38,california,4,39
39,california,4,36
40,california,4,27
41,california,4,21
42,california,4,17
43,california,4,16
44,california,4,11
45,california,4,7
46,california,4,4
47,california,4,5
48,california,4,5
49,california,4,4
50,california,4,2
51,california,4,2
52,california,4,1
53,california,4,1
54,california,4,1
55,california,4,1
56,california,4,1
57,california,4,1
58,california,4,1
59,california,4,0
60,california,4,0
61,california,4,0
62,california,4,0
63,california,4,0
64,california,4,0
65,california,4,0
66,california,4,0
67,california,4,0
68,california,4,0
69,california,4,0
70,california,4,0
71,california,4,0
72,california,4,0
73,california,4,0
74,california,4,0
75,california,4,0
76,california,4,0
77,california,4,0
78,california,4,0
79,california,4,0
80,california,4,0
81,california,4,0
82,california,4,0
83,california,4,0
84,california,4,0
85,california,4,0
86,california,4,0
87,california,4,0
88,california,4,0
89,california,4,0
90,california,4,0
91,california,4,0
92,california,4,0
93,california,4,0
94,california,4,0
95,california,4,0
96,california,4,0
97,california,4,0
98,california,4,0
99,california,4,0
