#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-223.8,100,23.533382,0,0,0,0.0,0
0.3,100,23.635438,0,0,0,0.0,0
-7.2,100,23.752093,0,0,0,0.0,0
-96.9,100,23.859922,0,0,0,0.0,0
-191.0,100,23.965982,0,0,0,0.0,0
-68.6,100,24.074181,0,0,0,0.0,0
-82.9,100,24.210933,0,0,0,0.0,0
-168.7,100,24.342512,0,0,0,0.0,0
-184.9,100,24.43983,0,0,0,0.0,0
-209.9,100,24.536779,0,0,0,0.0,0
-58.4,100,24.639964,0,0,0,0.0,0
-35.0,100,24.743251,0,0,0,0.0,0
-210.3,100,25.910136,0,0,0,0.0,0
-151.1,100,25.994861,0,0,0,0.0,0
-200.3,100,26.073865,0,0,0,0.0,0
-186.7,100,26.157821,0,0,0,0.0,0
-0.1,100,26.243016,0,0,0,0.0,0
-11.5,100,26.337309,0,0,0,0.0,0
-184.8,100,26.418038,0,0,0,0.0,0
0.8,100,26.501079,0,0,0,0.0,0
-9.6,100,26.601665,0,0,0,0.0,0
-1.1,100,26.701979,0,0,0,0.0,0
-153.0,100,26.798166,0,0,0,0.0,0
-216.1,100,26.880211,0,0,0,0.0,0
-96.7,100,26.974315,0,0,0,0.0,0
-69.3,100,27.074317,0,0,0,0.0,0
-136.8,100,27.167471,0,0,0,0.0,0
-34.5,100,27.260101,0,0,0,0.0,0
-239.2,100,27.352023,1,0,0,2.0,0
-1.0,100,27.44382,0,0,0,0.0,0
1.4,100,27.539388,0,0,0,0.0,0
-73.3,100,27.637678,0,0,0,0.0,0
-216.6,100,28.740284,0,0,0,0.0,0
-0.2,100,28.839485,0,0,0,0.0,0
1.6,100,28.931987,0,0,0,0.0,0
0.8,100,29.034162,0,0,0,0.0,0
0.4,100,29.13038,0,0,0,0.0,0
1.2,100,29.225358,0,0,0,0.0,0
-188.3,100,29.30524,0,0,0,0.0,0
-2.1,100,29.424634,0,0,0,0.0,0
-142.8,100,29.516118,0,0,0,0.0,0
-235.8,100,29.600969,0,0,0,0.0,0
-75.4,100,29.693015,0,0,0,0.0,0
-207.8,100,29.784252,0,0,0,0.0,0
-198.6,100,29.872029,3,0,0,4.0,0
-140.9,100,29.951283,0,0,0,0.0,0
-195.7,100,30.042908,0,0,0,0.0,0
-121.3,100,30.130686,0,0,0,0.0,0
-183.3,100,30.21623,0,0,0,0.0,0
-187.1,100,30.300203,0,0,0,0.0,0
-0.6,100,30.396812,0,0,0,0.0,0
-33.8,100,30.475759,0,0,0,0.0,0
1.8,100,30.571092,0,0,0,0.0,0
-54.0,100,31.692849,0,0,0,0.0,0
-203.5,100,31.779834,0,0,0,0.0,0
-2.5,100,31.871788,0,0,0,0.0,0
-68.4,100,31.969886,0,0,0,0.0,0
-209.0,100,32.051755,0,0,0,0.0,0
-136.0,100,32.129831,0,0,0,0.0,0
0.9,100,32.224,0,0,0,0.0,0
-1.4,100,32.316205,0,0,0,0.0,0
-210.7,100,32.404332,0,0,0,0.0,0
-172.3,100,32.490537,0,0,0,0.0,0
-200.8,100,32.569197,0,0,0,0.0,0
-206.4,100,32.652095,0,0,0,0.0,0
0.5,100,32.744646,0,0,0,0.0,0
-54.2,100,32.838051,0,0,0,0.0,0
-214.8,100,32.921051,0,0,0,0.0,0
-21.0,100,33.000088,0,0,0,0.0,0
2.0,100,34.72712,0,0,0,0.0,0
-180.7,100,34.818371,0,0,0,0.0,0
-36.2,100,34.911048,0,0,0,0.0,0
-219.3,100,35.000045,0,0,0,0.0,0
-17.8,100,36.084685,0,0,0,0.0,0
0.6,100,36.174907,0,0,0,0.0,0
-190.1,100,36.275025,0,0,0,0.0,0
-199.7,100,36.353967,0,0,0,0.0,0
-196.8,100,36.436383,0,0,0,0.0,0
-196.6,100,36.526447,0,0,0,0.0,0
1.0,100,36.616624,0,0,0,0.0,0
1.8,100,36.715858,0,0,0,0.0,0
-61.4,100,36.800108,0,0,0,0.0,0
-187.6,100,36.892708,0,0,0,0.0,0
1.3,100,36.985817,0,0,0,0.0,0
-39.8,100,37.073816,0,0,0,0.0,0
-81.7,100,37.165883,0,0,0,0.0,0
-176.8,100,37.253963,0,0,0,0.0,0
0.2,100,37.346799,0,0,0,0.0,0
1.6,100,37.440199,0,0,0,0.0,0
-189.3,100,37.524425,0,0,0,0.0,0
-192.9,100,37.610059,0,0,0,0.0,0
0.1,100,37.709368,0,0,0,0.0,0
-1.9,100,37.799743,0,0,0,0.0,0
-139.1,100,37.889896,0,0,0,0.0,0
-53.6,100,39.016034,0,0,0,0.0,0
-0.0,100,39.121905,0,0,0,0.0,0
-206.3,100,39.210173,0,0,0,0.0,0
-63.5,100,39.306422,0,0,0,0.0,0
-210.9,100,39.382906,0,0,0,0.0,0
-168.7,100,39.477234,0,0,0,0.0,0
-178.0,100,39.5589,0,0,0,0.0,0
-69.1,100,39.670873,0,0,0,0.0,0
-4.2,100,39.771858,0,0,0,0.0,0
-182.2,100,39.854004,0,0,0,0.0,0
-86.4,100,39.94259,0,0,0,0.0,0
-191.5,100,40.042484,0,0,0,0.0,0
-204.1,100,40.127748,0,0,0,0.0,0
1.2,100,40.225069,0,0,0,0.0,0
-127.4,100,40.307766,0,0,0,0.0,0
-6.4,100,40.400653,0,0,0,0.0,0
-112.1,100,40.472127,0,0,0,0.0,0
-91.5,100,40.580508,0,0,0,0.0,0
-207.1,100,40.662859,0,0,0,0.0,0
-0.4,100,40.755451,0,0,0,0.0,0
-198.3,100,41.834157,0,0,0,0.0,0
-79.2,100,41.932185,0,0,0,0.0,0
-225.1,100,42.018146,0,0,0,0.0,0
-53.5,100,42.105162,0,0,0,0.0,0
-185.7,100,42.205924,0,0,0,0.0,0
-22.5,100,42.299756,0,0,0,0.0,0
